-10,-0.500000001236692,-10,-0.500000001236692
-9.5,-0.485000003361678,-9.9,-0.497000001510499
-9,-0.470000009137988,-9.8,-0.494000001844928
-8.5,-0.455000024839625,-9.7,-0.4910000022534
-8,-0.440000067521097,-9.6,-0.488000002752309
-7.5,-0.425000183541336,-9.5,-0.485000003361678
-7,-0.410000498916817,-9.4,-0.482000004105963
-6.5,-0.395001356194579,-9.3,-0.479000005015034
-6,-0.380003686504761,-9.2,-0.476000006125376
-5.5,-0.365010020853109,-9.1,-0.473000007481552
-5,-0.350027238721221,-9,-0.470000009137988
-4.5,-0.335074036745592,-8.9,-0.467000011161164
-4,-0.32020121007828,-8.8,-0.464000013632276
-3.5,-0.30554663071664,-8.7,-0.461000016650499
-3,-0.291483573893981,-8.6,-0.458000020336965
-2.5,-0.279015710554571,-8.50000000000001,-0.455000024839625
-2,-0.270791725977255,-8.40000000000001,-0.452000030339187
-1.5,-0.27345552390654,-8.30000000000001,-0.449000037056366
-1,-0.301521753213271,-8.20000000000001,-0.446000045260747
-0.5,-0.376364852808109,-8.10000000000001,-0.4430000552816
0,0,-8.00000000000001,-0.440000067521097
0.5,0.376364852808109,-7.90000000000001,-0.437000082470453
1,0.301521753213271,-7.80000000000001,-0.434000100729635
1.5,0.27345552390654,-7.70000000000001,-0.43100012303145
2,0.270791725977255,-7.60000000000001,-0.428000150270945
2.5,0.279015710554571,-7.50000000000001,-0.425000183541336
3,0.291483573893981,-7.40000000000001,-0.422000224177879
3.5,0.30554663071664,-7.30000000000001,-0.419000273811457
4,0.32020121007828,-7.20000000000001,-0.416000334434036
4.5,0.335074036745592,-7.10000000000001,-0.413000408478603
5,0.350027238721221,-7.00000000000001,-0.410000498916817
5.5,0.365010020853109,-6.90000000000001,-0.407000609378264
6,0.380003686504761,-6.80000000000001,-0.404000744296125
6.5,0.395001356194579,-6.70000000000001,-0.40100090908509
7,0.410000498916817,-6.60000000000001,-0.398001110358664
7.5,0.425000183541336,-6.50000000000001,-0.395001356194579
8,0.440000067521097,-6.40000000000001,-0.392001656458971
8.5,0.455000024839625,-6.30000000000001,-0.389002023202319
9,0.470000009137988,-6.20000000000001,-0.386002471143047
9.5,0.485000003361678,-6.10000000000001,-0.383003018258182
10,0.500000001236692,-6.00000000000001,-0.380003686504762







